IndusInd Bank Ltd.,Financial Services,INDUSINDBK,
Info Edge (India) Ltd.,Consumer Services,NAUKRI,
Infosys Ltd.,Information Technology,INFY,
InterGlobe Aviation Ltd.,Services,INDIGO,
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,
LTIMindtree Ltd.,Information Technology,LTIM,
Larsen & Toubro Ltd.,Construction,LT,
Life Insurance Corporation of India,Financial Services,LICI,
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,
Marico Ltd.,Fast Moving Consumer Goods,MARICO,
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,
MphasiS Ltd.,Information Technology,MPHASIS,
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,
NTPC Ltd.,Power,NTPC,
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,
One 97 Communications Ltd.,Financial Services,PAYTM,
PI Industries Ltd.,Chemicals,PIIND,
Pidilite Industries Ltd.,Chemicals,PIDILITIND,
Power Grid Corporation of India Ltd.,Power,POWERGRID,
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,
SRF Ltd.,Chemicals,SRF,
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,
Shree Cement Ltd.,Construction Materials,SHREECEM,
Siemens Ltd.,Capital Goods,SIEMENS,
State Bank of India,Financial Services,SBIN,
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,
Tata Consultancy Services Ltd.,Information Technology,TCS,
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,
Tata Power Co. Ltd.,Power,TATAPOWER,
Tata Steel Ltd.,Metals & Mining,TATASTEEL,
Tech Mahindra Ltd.,Information Technology,TECHM,
Titan Company Ltd.,Consumer Durables,TITAN,
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,
UPL Ltd.,Chemicals,UPL,
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,
United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N,
Vedanta Ltd.,Metals & Mining,VEDL,
Wipro Ltd.,Information Technology,WIPRO,
Zomato Ltd.,Consumer Services,ZOMATO,
